org_id,name
o316,Academy of Military Science
o317,Academy of Military Sciences
o318,Academy of Performing Arts in Prague
o319,Academy of Romanian Scientists
o320,Academy of Scientific and Innovative Research
o321,Acapela Group
o322,Acceler Logic
o323,Acceleration Consortium
o324,Accelex Tech
o325,Accelex Technology
o326,Accendere Knowledge Management Services Pvt. Ltd.
o327,Accenture
o328,Accenture GmbH
o329,Accenture LLP
o330,Access Research
o331,Accra Institute of Technology
o332,Achievers University
o333,Acoustintek Co. Ltd.
o334,Acquia
o335,Acryl Inc.
o336,Act Inc.
o337,ActionPower
o338,Activeloop
o339,Activision Blizzard
o340,Acumen Labs
o341,Acurai Inc.
o342,Ada Health GmbH
o343,Ada University
o344,Adabit AI
o345,Adam Mickiewicz University
o346,Adam Mickiewicz University in Poznan
o347,Adam Mickiewicz University in Poznań
o348,Adama Science and Technology University
o349,Adamas University
o350,Adani Institute of Information and Communication Technology
o351,Adapt Centre
o352,Adapt Centre for Digital Content Technology
o353,Adapt Centre for Global Intelligent Content
o354,Adapt Research Centre
o355,AdaptThink
o356,AdapterHub
o357,Adaptive Memory Networks
o358,Addis Ababa Science and Technology University
o359,Addis Ababa University
o360,AdeptMind
o361,AdeptMind Inc.
o362,Adform
o363,Aditya English Medium School
o364,Admiral Insurance
o365,Adobe
o366,Adobe Inc.
o367,Adobe Research
o368,Adobe Systems
o369,Adresgezgini A.S.
o370,Adresgezgini A.Ş.
o371,Advacheck OÜ
o372,Advanced Care Research Centre
o373,Advanced Comprehensive Research Organization
o374,Advanced Digital Institute of America
o375,Advanced Digital Sciences Center
o376,Advanced Industrial Science and Technology (AIST)
o377,Advanced Institute of Big Data
o378,Advanced Institute of Industrial Technology
o379,Advanced Institute of Information Technology
o380,Advanced Institute of Science and Technology
o381,Advanced Knowledge Center
o382,Advanced Machine Intelligence Research (AMIR)
o383,Advanced Machine Intelligence Research Lab
o384,Advanced Media Inc.
o385,Advanced Micro Devices
o386,Advanced Micro Devices (AMD)
o387,Advanced Micro Devices Inc.
o388,"Advanced Micro Devices, Inc."
o389,Advanced Research Center (ARC)
o390,Advanced Research Institute of Machine Learning
o391,Advanced Research Institute of Multidisciplinary Science
o392,Advanced Research Management
o393,Advanced Research and Machine Learning (ARM ML) Research
o394,Advanced Research in Cyber Systems
o395,Advanced Science Research Center (ASRC)
o396,Advanced Science and Application Programming Laboratory (ASAPP)
o397,Advanced Systems and Applications Laboratory
o398,Advanced Systems and Applications Laboratory (ASAP)
o399,Advanced Telecommunications Research Institute International
o400,Advanced Telecommunications Research Institute International (ATR)
o401,AdvantX Technological Foundation
o402,Adventist University of Africa
o403,Adverifai
o404,Advosights
o405,Aelhuyar Foundation
o406,Aequa Tech
o407,Aerobotics
o408,Aeronautical Development Establishment
o409,Aeronautics Institute of Technology
o410,Aerospace Information Research Institute
o411,Aetna
o412,Afe Babalola University
o413,Affiniti AI
o414,Aflac Inc.
o415,Africa Canada Artificial Intelligence and Data Innovation Consortium
o416,Africa Nazarene University
o417,African Center for Language Preservation
o418,African Center of Excellence in Applied Informatics and Communication (ACE)
o419,African Institute for Mathematical Sciences
o420,African Institute for Mathematical Sciences (AIMS)
o421,African Language Technology Initiative
o422,African Leadership University
o423,African Masters in Machine Intelligence
o424,African Masters of Machine Intelligence
o425,African Research Collective
o426,African University of Science and Technology
o427,AfterQuery
o428,Aga Khan University
o429,Agami
o430,Agar Labs
o431,Agaralabs
o432,Agence France-Presse
o433,Agencia Española de Medicamentos y Productos Sanitarios (AEMPS)
o434,Agency Enterprise
o435,"Agency for Science, Technology and Research"
o436,Agentic
o437,Agentur für Forschung GmbH
o438,Aggregate Intellect
o439,Agibang
o440,Agile Knowledge Engineering and Semantic Web (AKSW)
o441,AgileSoda Inc.
o442,AgileX Robotics
o443,Agilience
o444,Agnostiq Inc.
o445,Agolo Inc.
o446,Agricultural University of Vissarion
o447,AgroParisTech
o448,Agroknow
o449,Agrupamento de Escolas de São Lourenço
o450,Ahan Company Corporation
o451,Ahmadu Bello University
o452,Ahmed Draia University
o453,Ahmedabad University
o454,Ahold Delhaize
o455,Ahsanullah University of Science and Technology
o456,Aibao LLC
o457,Aichi Institute of Technology
o458,Aier Eye Hospital
o459,Aigen Sciences
o460,Aigen Sciences Inc.
o461,Aigendrug Co. Ltd.
o462,Aigents
o463,Aigility
o464,Aigurukul Foundation
o465,Aikamedia Oy
o466,AimeSoft JSC
o467,Aimon Labs
o468,Aims
o469,Aimsolid
o470,Ain Shams University
o471,Air Force Engineering University
o472,Air Force Medical University
o473,Air Force Research Laboratory
o474,Air Liquide
o475,Air Mail and Cartoon Collections
o476,Air Passenger Rights
o477,Air University
o478,Airbnb
o479,Airbnb Inc.
o480,Airbus
o481,Airbus Group
o482,Airtel Africa
o483,Airyrooms
o484,Aishell Foundation
o485,Aispeech Co. Ltd.
o486,"Aispeech Co., Ltd."
o487,Aispeech Ltd
o488,Aissms Institute of Information Technology
o489,Aix-Marseille University
o490,Aixo Lab
o491,Aixuexi Education Group Ltd
o492,Ajivar LLC
o493,Ajou University
o494,Ajus Mundi
o495,Akasa Inc.
o496,Akita University
o497,Akonan University
o498,Akrivia Health
o499,Aktus AI
o500,Akumo AI
o501,Al Ahliyya Amman University
o502,Al Akhawayn University
o503,Al Baha University
o504,Al Balqa Applied University
o505,Al Bayt University
o506,Al Buraimi University College
o507,Al Huson University
o508,Al Jazeera Media Network
o509,Al Nahrain University
o510,Al Noor University
o511,Al Rasheed University College
o512,Al Soma University
o513,Al al-Bayt University
o514,Al-Balqa Applied University
o515,Al-Khwarizmi Institute of Computer Sciences
o516,Al-Quds Open University
o517,Al-Quds University
o518,Al-Zaytoonah University of Jordan
o519,Alamo Colleges
o520,Alan Analytics
o521,Alan Turing Institute
o522,Alana AI
o523,Alana Institute for Artificial Intelligence
o524,Alaya Systems
o525,Albany Medical College
o526,Albany State University
o527,Albert Einstein College of Medicine
o528,Albert Einstein Healthcare Network
o529,Albert Einstein Israelite Hospital
o530,Albert Ludwigs University of Freiburg
o531,Alberta Health Services
o532,Alborz Vocational Technical University
o533,Albox
o534,Alchera Inc.
o535,Alea Institute
o536,Aleph Alpha GmbH
o537,Aleppo University
o538,Aletheia Research
o539,Alex Ekwueme Federal University Ndufu-Alike Ikwo
o540,Alex Informatics
o541,Alex Kukushkin Lab
o542,Alexandra Institute
o543,Alexandria University
o544,Alfaisal University
o545,Alfred Landecker Foundation
o546,Alfred Renyi Institute of Mathematics
o547,Alfred System
o548,Alfred University
o549,Alfréd Rényi Institute of Mathematics
o550,Algebra University
o551,Algiers 01 University
o552,Algoma University
o553,Algorithmic Labs Ltd.
o554,Algoritmi Research Centre
o555,Algorix
o556,Algoverse
o557,Alibaba Cloud
o558,Alibaba Cloud Computing
o559,Alibaba Cloud Computing Co. Ltd.
o560,Alibaba Group
o561,Alibaba Group Inc.
o562,Alibaba Group U.S. Inc.
o563,Alibaba Inc
o564,Alice Salomon University of Applied Sciences Berlin
o565,Aligarh Muslim University
o566,Alignment Research Center
o567,Alinker Technology
o568,Alipay
o569,Alipes APS
o570,All Hands AI
o571,AllSci
o572,Allameh Tabataba'i University
o573,Allameh Tabatabaei University
o574,Allameh Tabatabai University
o575,Allegheny College
o576,Allegheny General Hospital
o577,Allegheny Health Network
o578,Allegro
o579,Allegro.pl
o580,Allen Institute
o581,Allen Institute for AI
o582,Allen Institute of Artificial Intelligence
o583,Alliance University
o584,AllianceBernstein
o585,"Allianz Global Investors Japan Co., Ltd."
o586,Allo Media
o587,Allstate
o588,Allstate Insurance Company
o589,Alma Mater Europaea
o590,Almawave
o591,Alok Abhishek AI
o592,AlpInference
o593,Alparslan Türkeş Science and Technology University
o594,Alpenite
o595,Alpha
o596,Alpha Tensor Technologies Ltd.
o597,AlphaPo
o598,Alphabet Inc.
o599,Alphamoon Ltd.
o600,Alphasense
o601,Alstom
o602,Alt Inc.
o603,Alt Vietnam Co. Ltd
o604,Alta Institute
o605,Alteca
o606,Alten Italia
o607,Alterra AI
o608,Althiqa
o609,Althire AI
o610,Altinbas University
o611,Alvenir
o612,Alzahra University
o613,Alzheimer's Disease Neuroimaging Initiative
o614,Ama University
o615,Amadeus AI
o616,Amadeus IT Group
o617,Amadeus SAS
o618,Amajor S.B. S.p.A.
o619,Amajor S.p.A
o620,Aman.ai
o621,Amaros Macula Retina Institute
o622,Amass Technologies
o623,Amazon
o624,Amazon Inc.
o625,Amazon Web Services
o626,Amazon.com
o627,Amazonas State University
o628,Amberscript
o629,American Association of Surgical Technologists
o630,American College of Europe in Skopje
o631,American College of Thessaloniki
o632,American Express
o633,American Express Company
o634,American Family Insurance
o635,American Institute of Steel Construction
o636,American Institutes for Research
o637,American International Group
o638,American International University Bangladesh
o639,American International University of Bangladesh
o640,American International University-Bangladesh
o641,American Mathematical Society
o642,American National Standards Institute
o643,American Translators Association
o644,American University
o645,American University in Cairo
o646,American University of Armenia
o647,American University of Beirut
o648,American University of Sharjah
o649,American and European International Study Center
o650,Amex AI Labs
o651,Amgen Inc.
o652,Amherst College
o653,Amikom Yogyakarta University
o654,Amirkabir University of Technology
o655,Amity Institute of Information Technology
o656,Amity University
o657,Amobee
o658,Amol University of Special Modern Technologies
o659,Amplefi
o660,Amplefy
o661,Amplify
o662,Amplyfi
o663,Amrita Vishwa Vidyapeetham
o664,Amrith Technologies
o665,Amsterdam Public Health
o666,Amsterdam Reproduction and Development
o667,Amsterdam University Medical Center
o668,Amsterdam University Medical Centers
o669,Amsterdam University Medical Centre
o670,Amsterdam University of Applied Sciences
o671,Amundi
o672,An Najah National University
o673,Anadolu High School
o674,Analysis PressRelations GmbH
o675,Analytics AG
o676,Analytics Lab
o677,Analytics Quotient
o678,Analytics Research Institute
o679,Anatolia College
o680,Ancestry.com
o681,Anchormen
o682,Andalas University
o683,Andalusian Institute of Data Science and Computational Intelligence
o684,Andalusian Research Institute
o685,Andreessen Horowitz
o686,Aneev Academy
o687,AngelAlign Inc.
o688,AngelAlign Technology Inc.
o689,Angiang University
o690,Anglia Ruskin University
o691,Anglican Church
o692,Anhalt University of Applied Sciences
o693,Anhui Agricultural University
o694,"Anhui Conch Information Technology Engineering Co., Ltd."
o695,Anhui Disaster Warning Agrometeorological Information Center
o696,Anhui Jianzhu University
o697,Anhui Medical University
o698,Anhui Normal University
o699,Anhui Polytechnic University
o700,Anhui Province
o701,Anhui Province Key Laboratory
o702,Anhui Province Key Laboratory of Big Data Analysis and Application
o703,Anhui Province Key Laboratory of Medical Physics and Technology
o704,Anhui University
o705,Anhui University of Chinese Medicine
o706,Anhui Xinhua University
o707,Ankara University
o708,Anna University
o709,Ano AI Research Institute
o710,Anomalee Inc.
o711,Answer AI
o712,Answer.ai
o713,AnswerAI
o714,Ant Financial Service Group
o715,Ant Group
o716,Ant Group Co. Ltd.
o717,"Ant Group Co., Ltd."
o718,Ant Research
o719,Anthropic
o720,Anti-Defamation League
o721,Anti-Discrimination Agency West Sweden
o722,Antiplagiat
o723,Antonio Mallia
o724,Antwerp University
o725,Antwerp University Hospital
o726,Anudip Foundation
o727,Anyang Normal University
o728,Anyang University
o729,Anyedit
o730,Anyscale
o731,Anysphere
o732,Anytime AI
o733,Aodum Institute
o734,Aoyama Gakuin University
o735,Apache Software Foundation
o736,Apart Research
o737,Apart Research Institute
o738,Apate AI
o739,Apergo AI
o740,Apollo Labs
o741,Apollo Research
o742,Apollo.ai
o743,Apostroph Group
o744,App Inventor Foundation
o745,App in Club
o746,AppCubic
o747,AppTek
o748,Appalachian State University
o749,Appen
o750,Appier
o751,Apple Inc.
o752,Applica AI
o753,Applied AI
o754,Applied AI Institute
o755,Applied Artificial Intelligence Institute
o756,Applied Brain Research
o757,Applied College
o758,Applied Information Partners
o759,Applied Marketing Science Inc.
o760,AppliedAI Initiative GmbH
o761,AppliedAI Institute for Europe GGmbh
o762,Applus+ IDIADA
o763,Approximate Labs
o764,Apratech Group
o765,Apsis Solutions Limited
o766,Aptima Inc.
o767,Aptus.ai
o768,Apurba Technologies
o769,Apurba Technologies Inc.
o770,Aqarios GmbH
o771,Aquemix Inc.
o772,"Arab Academy for Science, Technology and Maritime Transport"
o773,Arab American University
o774,Arab Center for Research and Policy Studies
o775,Arab International University
o776,Aradisen Co. Ltd.
o777,Aragon High School
o778,Aragon Institute of Engineering Research
o779,Arak University
o780,Araya Inc.
o781,ArazorThink Inc
o782,Arba Sicula
o783,Arbisoft
o784,ArcBlock
o785,Arcadia High School
o786,Archbishop Mitty High School
o787,Archean Labs
o788,Archimedes
o789,Archimedes Research Center
o790,Archimedes Research Unit
o791,Archipel Cognitive
o792,Arctic University of Norway
o793,Ardigen
o794,Area Science Park
o795,Areto Consulting GmbH
o796,Arewa Data Science
o797,Arewa Data Science Academy
o798,Argentine Academy of Letters
o799,Argo AI
o800,Argonne National Laboratory
o801,Argos
o802,Ariel University
o803,Aristotle University of Thessaloniki
o804,Arizona State University
o805,Arkansas State University
o806,Arkhn
o807,Arklex AI
o808,Armasuisse
o809,Armed Conflict Location & Event Data Project
o810,Army Cyber Institute
o811,Army Cyber Technology and Innovation Center
o812,Army Engineering University of PLA
o813,Army Institute of Technology
o814,Army Research Institute for the Behavioral and Social Sciences
o815,Army Research Laboratory
o816,Arnekt Solutions Pvt Ltd
o817,Arnekt Solutions Pvt. Ltd.
o818,Arrive Bio
o819,Art Center Nabi
o820,Art Institute of Boston
o821,Art Institute of Chicago
o822,Art University of Isfahan
o823,Artefact Research Center
o824,Arteria AI
o825,Artful Media
o826,Arthritis Research UK
o827,Articul8 AI
o828,Articulate AI Inc.
o829,Articulate Instruments Ltd.
o830,Artie Inc.
o831,Artificial Inc.
o832,Artificial Intelligence Application Research Center
o833,Artificial Intelligence Engineering
o834,Artificial Intelligence Engineering Group
o835,Artificial Intelligence Engineers (AIE)
o836,Artificial Intelligence Entrepreneur Association of Thailand
o837,Artificial Intelligence Finance Institute
o838,Artificial Intelligence Innovation and Incubation Institute
o839,Artificial Intelligence Institute of Shanghai
o840,Artificial Intelligence Lab
o841,Artificial Intelligence National Team for Intelligence
o842,Artificial Intelligence National Theory and Innovation
o843,Artificial Intelligence Research Center
o844,Artificial Intelligence Research Centre
o845,Artificial Intelligence Research Institute (AIRI)
o846,Artificial Intelligence Research Laboratory
o847,Artificial Intelligence Review
o848,Artificial Intelligence Society Malaysia
o849,Artificial Intelligence and Innovation Centre
o850,Artificial Intelligence and Learning Systems Laboratory
o851,Artificial Intelligence and Machine Learning Lab
o852,Artificial Intelligence and Machine Learning for Data Science
o853,Artificial Intelligence and Technology Research Institute
o854,Artificial Society Inc.
o855,Artiminds Robotics
o856,Artisan University
o857,Artois University
o858,Artorg Center
o859,Arvis Lab
o860,Asahi Kasei
o861,Asahi Shimbun Company
o862,Asan Medical Center
o863,Ascope College
o864,Ashesi University
o865,Ashoka University
o866,Asia Pacific Institute of Research
o867,Asia Pacific University of Technology and Innovation
o868,Asia School of Business
o869,Asian Development Bank
o870,Asian Institute of Digital Finance
o871,Asian Institute of Management
o872,Asian University of Bangladesh
o873,Asir C.V. Raman Centre for Physics and Music
o874,Ask for Alfred
o875,AskSpoke
o876,Asociación de Familiares de Enfermos de Alzheimer y Otras Demencias de Galicia (AFAGA)
o877,Assam Kaziranga University
o878,AssemblyAI
o879,AssemblyAI Inc.
o880,Assistance Publique - Hôpitaux de Paris
o881,Assistance Publique – Hôpitaux de Paris
o882,Assistant Lab
o883,Assistments
o884,Assiut University
o885,Association Derja
o886,Association for Computational Linguistics
o887,Association for Computing Machinery
o888,Association for Computing Machinery (ACM)
o889,Association for Information Systems
o890,Association for Research and Applications of Artificial Intelligence
o891,Assosa University
o892,Assumption University
o893,Astana IT University
o894,Aston University
o895,AstraZeneca
o896,AstralForge
o897,Astrumu Inc
o898,Asummetix GmbH
o899,Asurion
o900,Asurion Japan Holdings G.K.
o901,Asymanto Research
o902,Ateneo de Manila University
o903,Athena Consultancy
o904,Athena Research Center
o905,Athena Research Centre
o906,Athena Studio
o907,Athens Medical Center
o908,Athens Technology Center
o909,Athens University
o910,Athens University of Economics and Business (AUEB)
o911,Atlasia
o912,Atlassian
o913,Atmanity
o914,Atomecho Inc.
o915,Atommerce
o916,Atos
o917,Atrialog
o918,Atropos Health
o919,Attenty
o920,Atticus Project
o921,Attorney General's Chambers
o922,Atypo Systems
o923,Atypo Systems LLC
o924,Atılım University
o925,Auburn University
o926,Auburn University at Montgomery
o927,Auckland University of Technology
o928,Audeering GmbH
o929,Audio Security and Privacy Group
o930,AudioShake
o931,Audiocc
o932,Augmend
o933,Augsburg District Hospital
o934,Augsburg University
o935,Augusta University
o936,Augustus Intelligence
o937,Aunwesha Knowledge Technologies Private Limited
o938,Aura
o939,Aurora Innovation
o940,Austin Health
o941,Austin Peay State University
o942,Austin State Hospital
o943,Australia and New Zealand Banking Group Limited
o944,Australian Artificial Intelligence Institute
o945,Australian Broadcasting Corporation
o946,Australian Catholic University
o947,Australian Centre for Robotic Vision
o948,Australian Centre for Visual Technologies
o949,Australian E-Health Research Centre
o950,Australian Institute
o951,Australian National University
o952,Australian Research Data Commons
o953,Austrian Academy of Sciences
o954,Austrian Institute of Technology
o955,Austrian Institute of Technology GmbH
o956,Austrian National Library
o957,Austrian Research Institute for Artificial Intelligence
o958,Auto Trader Group
o959,Auto Trader UK
o960,Autoagents
o961,Autodesk
o962,Autodesk Inc.
o963,Autogen AI
o964,Autograms AI
o965,Automated Analytics
o966,Automatic Inc.
o967,Automation and Systems Research Institute
o968,Automorphic Inc.
o969,Autonio Foundation Ltd.
o970,Autonomous University of Barcelona
o971,Autonomous University of Madrid
o972,Autonomous University of Nuevo León
o973,Autonomous University of San Luis Potosí
o974,Autonomous University of Yucatan
o975,Autoregressive Integrated Moving Average Institute
o976,Autoritas Consulting
o977,Autorité des Marchés Financiers
o978,Auxhealth
o979,Avaiv Company
o980,Avature
o981,Avaya
o982,Avaya Inc.
o983,Aveni
o984,Avey AI
o985,Aviat University
o986,Aviation System Engineering Institute of China
o987,Avignon University
o988,Avila Lab
o989,Aware
o990,Awoo Intelligence
o991,Ax Semantics
o992,Axiom Lab
o993,Axiomsix
o994,Axogyan AI
o995,Axon Enterprise Inc.
o996,Axys Consultants
o997,Azbookus Ltd
o998,Azerbaijan Shahid Madani University
o999,Azerbaijan State Oil and Industry University
o1000,Azft
o1001,Azienda Ospedaliera Universitaria Sant'Anna
o1002,Azienda Ospedaliera di Verona
o1003,Azienda Regionale per l'Innovazione e gli Acquisti
o1004,Azoft Inc.
o1005,AzuBi Africa
o1006,Azzurro
o1007,Aﬁniti AI
o1008,B Com
o1009,B P Mandal College of Engineering
o1010,B.M.S. College of Engineering
o1011,B.S. Abdur Rahman University
o1012,BAE Systems
o1013,BAIC Group
o1014,BASF
o1015,BBC
o1016,BBN Technologies
o1017,BBVA
o1018,BCS Technology
o1019,BGI Research
o1020,BI Norwegian Business School
o1021,BIFOLD
o1022,BIM Society of Australia
o1023,BITS Pilani
o1024,BITS Pilani (Birla Institute of Technology and Science)
o1025,BITS Pilani Goa Campus
o1026,BJIT Limited
o1027,BKAI (BKAI Foundation)
o1028,BKAI Research Center
o1029,BM Munjal University
o1030,BMS College of Engineering
o1031,BMW AG
o1032,BMW Group
o1033,BNOSAC
o1034,BNP Paribas
o1035,BNP Paribas Cardif
o1036,BNY Mellon
o1037,BRAC University
o1038,BT Group
o1039,BTG Pactual
o1040,BYJU'S
o1041,BYOM
o1042,Baamtu Datamation
o1043,Baamtu Technologies
o1044,Babasaheb Bhimrao Ambedkar University
o1045,Babbel
o1046,Babelscape
o1047,Babelscape Srl
o1048,Babeș-Bolyai University
o1049,Babol Noshirvani University of Technology
o1050,Babumadhav Institute of Information Technology
o1051,Babylon Health
o1052,Bac Ninh Teacher Training College
o1053,Bach Khoa University
o1054,Backyard Labs
o1055,Badji Mokhtar Annaba University
o1056,Badji Mokhtar University
o1057,Bahasa AI
o1058,Bahir Dar University
o1059,Bahria University
o1060,Baichuan AI
o1061,Baichuan Inc
o1062,Baichuan Intelligent Technology
o1063,Baidu
o1064,Baidu Inc
o1065,Bakar Institute of Medicine
o1066,Baker University
o1067,Bakken and Baeck GmbH
o1068,Baku Higher Oil School
o1069,Baldwin School
o1070,Balidea Consulting Programming S.L.
o1071,Ball State University
o1072,Balyasny Asset Management
